 âba _babalar pederler 
 abd _  kul, köle, hizmetçi.  
 kemâlât _  olgunluklar, mükemmellikler, fazîletler.  
 kemalât-ı ahlâkiye _  ahlâkî olgunluklar, mükemmellikler.  
 kemâlât-ı Ahmediye _  her hal ve hareketiyle kemâl noktasında olan Hz. Muhammed (a. s. m. ).  
 kemâlat-ı beşeriye _  insanların keşif, buluş ve hünerleri.  
 kemâlat-ı fenniye _  fennin gelişmesi. İlim ve teknolojideki ilerleme.  
 kemâlat-ı İlâhiye _  Allah'ın kemâlâtı. İlâhî güzellik ve mükemmellik.  
 kemâlât-ı ilmiye _  ilmî olgunluklar.  
 kemâlât-ı insâniye _  insanın olgunlukları, mükemmellikleri.  
 kemâlât -ı kibriyâ _  sonsuz büyüklük sâhibi Allah'ın kemâlâtı.  
 Kemâlât-ı medeniyet _  medeniyetin mükemmellikleri.  
 kemâlât-ı muhabbet _  sevgideki güzellik ve yücelikler.  
 kemâlât-ı sanat _  sanat mükemmellikleri.  
 kemâlât-ı zâtiye _  Cenâb-ı Hakkın zâtına mahsus yücelikler, mükemmellikler.  
 kemerbeste-i hizmet-i Mevlâ _  Mevlâ'ya el bağlayıp hizmet etmek.  
 kemerbeste-i ubudiyet _  Cenâb-ı Hakkın huzuruna çıkıp, kollarını önden bağlar şekilde, emre hazır vaziyette bekleyiş, kulluğunu ifâde ve ilân etmek.  
 kemiyet _  nicelik, sayı çokluğu; sayı itibariyle, sayıca.  
 kenz-i ezam-ı Kitâbullah _  Allah'ın kitabının büyük hazinesi.  
 kerâmet _  Allah indinde makbul bir kulun Allah'ın lütfu ile gösterdiği büyük mârifet.  
 kerâmet-i kübrâ _  Mi'rac-ı Muhammedi (a. s. m. ) için kullanılan "en büyük kerâmet tâbiri.  
 kerâmet-i uzmâ _  en büyük kerâmet.  
 kerem _  cömertlik, lütuf, ihsan, inâyet, izzet, şeref.  
 kerem-i mütecessid _  vücut ve cesed hâlini almış değer.  
 keremnâmdar _  ikramıyla ün salan ve şöhret olanlar.  
 Kerim-i Mutlak _  sonsuz ikram; izzet ve şeref sahibi olan Allah.  
 Kerîm-i Rahim _  sonsuz ikram ve ihsan sahibi, pek merhametli olan Allah.  
 Kerîm-i Zülcemâl _  sonsuz ikram, ihsan ve güzellik sahibi Allah.  
 Kerim _  kimseye muhtaç olmayan, sonsuz ikram ve gerçek zenginlik sahibi Allah.  
 kerimâne _  yardım ve ihsanda bulunarak.  
 kerrât _  defalarca.  
 kervan _  birbirini tâkip ederek giden insan veya hayvan sürüsü..  
 kesâfet _  bulanıklık, kir, açık ve berrak olmamak, kalınlık, koyuluk, kesiflik; yoğunluk, şeffaf olmamak.  
 kesb-i istihkak _  hak kazanma, lâyık olma, müstehak olma.  
 kesb _  çalışmak, emek sarf etmek, işlemek, yapmak, kazanmak.  
 kesif _  koyu, çok sık ve sert, şeffaf olmayan.  
 kesîr _  çok.  
 kesirü'l-vukû _  çok meydana gelme, sık sık vuku bulma.  
 kesret _ çokluk, sıklık.  
 kesret-i mahlûkât _  yaratıkların çokluğu.  
 kesret-i mevcudât _  pek çok; kalabalık varlıklar.  
 kesret-i mutlaka _  aşırı derecede çokluk.  
 kesret-i tabakât _  derecelerin çokluğu, mertebelerin çokluğu.  
 keşf (keşif) _  açmak olacak birşeyi evvelden anlamak, gizli kalmış bir şeyi meydana çıkarmak, gizli bir şeyin Allah tarafından birisine ilham olunmasıyla o gizli şeyin meydana çıkarılması.  
 keşfiyât _  keşifler, Allah'ın ihsan ve ilhâmı ile evliyâların geçmiş ve gelecekle ilgili bildikleri maddî ve mânevî sırlar.  
 keşmekeş _  karışıklık, karmaşıklık.  
 keşşaf _  keşfeden, açan.  
 keşşâf-ı zihikmet _  hikmet sahibi keşşaf.  
 kevnî _  kâinatla ve yaratılışla ilgili.  
 Kevser _  Hz. Peygamberimize (a. s. m. ) verildiği vaad edilen bir Cennet nehri.  
 keyfemâyeşâ _  kendi keyfince, keyfi nasıl isterse, başıboş.  
 keyfen _  kıymetçe.  
 keyfi _  bir kânun veya prensibe dayanmayıp, keyif ve istekle ilgili olan.  
 keyfiyât _  keyfiyetler, bir şeyin aslı, esası, iç yüzü.  
 keyfiyât-ı zâhiriye _  görünüşteki haller.  
 keyfiyet _ durum, esas, içyüz, bir şeyin nasıl olduğu ciheti, kalite.  
 kezâ _ böyle, böylece, bu dâhi böyle.  
 kıl-ı zulmettar _  karartan; büyük ve geniş hakîkatin önünü kapatan bir kıl.  
 kıllet _ azlık, nâdirlik, kıtlık.  
 kıraat _  okuma.  
 kısm-ı âzam _  en büyük kısım.  
 kısm-ı ekser _  büyük kısım.  
 kısm-ı sâni _  ikinci kısım.  
 kıssa-i Musâ _  Hz. Musâ'nın başından geçen mühim hâdiselerin anlatıldığı Kur'ân'daki kıssa.  
 kıssât _ kıssalar, hikâyeler.  
 kışır _  kabuk, dış görünüş. Elbise.  
 kıt'a _  dünyanın kara parçalarından her biri.  
 kıtr _  erimiş bakır.  
 kıyam _  ayakta durma, ayağa kalkma; ayaklanma; ölümden sonra tekrar dirilme; namazın iftitah tekbiriyle rükû arasındaki ayakta durma kısmı.  
 Kıyâmet _  kâinatın yıkılıp mahvolması, dünyanın sonu ve bütün insanların dirilip mahşer meydanında toplanacağı zaman 
 kıyâmet-i kübrâ _  en büyük kıyâmet.  
 kıyâmet-i kübrâ-yı umumiye _  büyük diriliş. Bütün canlıların yeniden kıyâmı ve dirilişi.  
 kıyâmet-i neviye _  bir nev'in, bir tür ve cinsin ölüp-dirilmesi. Haşir ve Neşir.  
 kıyâmet-i şahsiye _  şahsın, ferdin öldükten sonraki dirilmesi.  
 kıyâmet-i umumiye _  umum canlıların öldükten sonra tekrar dirilmeleri.  
 kıyas _  benzetme, karşılaştırma, mukayese etme.  
 kıyâs-ı adli _  adâletin tam tecellî etmesi için, kıyaslama ve benzetme usulüyle yapılan muhakeme.  
 kıyâs-ı binnefs _  kendini, nefsini kıyaslayarak.  
 kıyâs-ı temsili _  temsil tarzında yapılan mukayese.  
 kıyâsât-ı temsiliye _  misâllerle yapılan kıyaslamalar.  
 kıyâsen _  kıyas olarak.  
 kıymetşinas _  kadir kıymet bilen.  
 kıymettar _  kıymetli, değerli, pahalı.  
 kıyye _  okka, şimdiki 1282 grama denk eski bir ağırlık. ölçüsü 
 kibir _  kendisini büyük gösteriş.  
 kibr-i sanat-maâl _  sanat îtibâriyle büyüklük.  
 kibriyâ _  azamet, büyüklük, her cihetçe büyük ve yüce oluş.  
 kibriyâ-i Ulûhiyet _  İlâhlığın büyüklüğü, Allah'ın ilâh oluşunun azameti.  
 kifâyet _ yeterli olma 
 kimyâger _  kimyacı, eczacı.  
 kinâi _  dolaylı. Örtülü ifade.  
 kinâiyat _  kinâyeli kinâyeler; bir şeyi temsille ve dolaylı anlatan sözler.  
 kinâye _  dolayısıyla dokunaklı söz, maksadı dolayısıyla anlatan söz, üstü örtü dokunaklı söz, açıktan olmayıp hakîki mânâyı. başka ifâde ile dokunaklı konuşmak.  
 kirpik-i akıl _  akla takılan, aklı şaşırtan bir kirpik teli.  
 kisb _  çalışmak kişinin kendi gayret ve fiiliyatıyla elde ettikleri, kazandıkları.  
 kisb-i insâni _  insanın tül ve ameli.  
 kisb-i şer _  şer olan bir işi işlemek veya o işe alet olmak.  
 kisb-i teşahhus _  şahsiyet kazanma. Şahsı şöhret.  
 Kisrâ-i Fâris _  Fars kralı. Eski İran Padişahına verilen unvan.  
 Kitâb-ı Mübin _  kâinattaki olayları cereyan ettiren Allah'ın kudretine âit nizam ve intizam esaslarını, kânunlarını ihtivâ eden mânevî kitap; Kudret Kitabı.  
 kitâb-ı âlem _  büyük bir kitap gibi mânâlar ifâde eden âlem.  
 kitâb-ı âlem _  kâinat kitabı.  
 kitâb-ı duâ _  duâ kitabı.  
 kitâb-ı ekber _  en büyük kitap.  
 kitab-ı emir _  emir kitabı.  
 kitâb-ı fikir _  düşünce kitabı.  
 kitâb-ı hikmet _  hikmet kitabı.  
 kitâb-ı hikmet-i Samedâniye _  Kendisi hiç bir şeye muhtaç olmadığı halde her şey Kendisine muhtaç olan Allah'ın yarattığı ve hikmetli bir kitap gibi manâlar ifâde eden kâinat.  
 kitâb-ı hikmetnümâ _  hikmetli kitap..  
 kitâb-ı kâinat _  kâinat kitabi, yani bütün kâinatın, Allah'ın isim ve sıfatlarını bildiren mânâlı bir kitap gibi olduğunu ifâde eder.  
 kitâb-ı kebir _  büyük kitap, kâinat diye tâbir edilir.  
 kitâb-ı kebîr-i âlem _  büyük bir kitap gibi mânâlar ifâde eden âlem.  
 kitâb-ı kebir-i kâinat _  büyük bir kitap gibi mânâlar ve hikmetler ifâde eden kâinât.  
 kitâb-ı mu'ciznûmâ _  mu'cize gösteren kitap.  
 kitâb-ı mukaddes _  kutsî,. mukaddes kitap.  
 kitâb-ı Samedâni _  Kendisi hiçbir şeye muhtaç olmadığı halde her şeyin Kendisine muhtaç olduğu Allah'ın yarattığı ve bir kitap gibi mânâlar ifâde ederi dünya, kâinat.  
 kitâb-ı semâvi _  semâvî kitap.  
 kitâb-ı şeriat _  kânun kitabı.  
 kitâb-ı ubûdiyet _  kulluk kitabı.  
 kitâb-ı zikir _  zikir kitabı.  
 kitâbet-i fıtrîye _  yaratılış yazısı, fıtrî yazı.  
 kitâbet-i kudret _  kudret yazması.  
 kitâbet-i kudsiye _  kusursuz ve eksiksiz yazı.  
 kitâbet _  yazma, kâtipli, usulüne göre bir şeyi yazmak.  
 kitâbullah _  Allah'ın kitabı, Kur'ân.  
 kitle-i azîme-i mayiâ-yı nâriye _  ateş ve sıvı hâlinde büyük kütle.  
 kitle-i mevât _  ölüler yığını. Ölü parçalardan oluşmuş bir kitle, beden.  
 kizb _  yalan; yalan söyleme.  
 klâsik _  eskiden beri süregelen.  
 komite _  kötü bir maksat için toplanmış gizli cemiyet.  
 kozmoğrafya _  yıldızların yerlerinden ve hareketlerinden bahseden ilim, astronomi.  
 kozmoğrafyacı _  uzay ilimleriyle uğraşan, yıldızların yerlerini ve hareketlerini inceleyen ilim adamı.  
 kör kuvvet _  görmesi mümkün olmayan kânun.  
 kubbe _  yarım küre veya kümbet biçiminde yapılan bina damları. Câmi damları.  
 kubbe-i âli _  yüksek kubbe.  
 kubbe-i semâ _  gök kubbe.  
 kubh (kubuh) _  çirkinlik, kabahat.  
 kubh-u mutlak _  sonsuz çirkinlik.  
 kudret _  güç, tâkat; Cenâb-ı Hakkın bu· tün kâinata hükmeden ezelî ve ebedî kudsî sıfatı.  
 kudret-i ezeliye _  varlığının başlangıcı olmayan Allâh'ın kudreti.  
 kudret-i Fâtır _  her şeyi benzersiz sûrette yaratan Allah'ın kudreti.  
 kudret-i Fâtıra _  yaratıcı kudret. Her şeyi en münâsib bir şekilde yaratan Kudret 
 kudret-i İlâhiye _  Allah'ın kudreti.  
 kudret-i kâmile _  kuvvet ve iradesinde noksanlık, eksiklik ve zayıflık olmayan İlâhî kudret.  
 kudret-i mutlaka _  sonsuz ve sınırsız kudret.  
 kudret-i Rabbâniye _  her şeyi. idare ve tedbir eden Kudret sahibi Allah.  
 kudret-i Samedâniye _  her şey Kendisine muhtaç olduğu halde Kendisi hiç bir şeye muhtaç olmayan Allah'ın kudreti.  
 kudret-i şuunât-ı İlâhiye _  Allah'ın. kudretiyle yaptığı işler, fiiller, tasarruflar.  
 kudret-i Vâhid-i Ehad _  tek olan, eşi ve benzeri olmayan Allah'ın kudreti.  
 kudsi _  mukaddes, yüce, temiz.  
 kudsiye _  kudsîlik, mukaddeslik, azizlik, temizlik, pâklık.  
 kudsiyet _  paklık, temizlik, kusur ve noksandan uzak oluş.  
 kulüb _  kalbler.  
 kulüb-u münevvere _  iman ve ibâdetle nurlanan kalbler.  
 Kumandan-ı Akdes _  en mukaddes kumandan; bütün yaratıklar askeri olan bir orduyu sevk ve idâre eden Allah.  
 kumandan-ı âzam _  en büyük kumandan.  
 kumaş-ı hikmet _  hikmet kumaşı.  
 kumistan _  kumluk çöl veya arazi.  
 Kur'ân'ın a'dâsı _  Kur'ân'ın düşmanları.  
 Kur'ân-ı Azim-i Kâinât _  büyük bir Kur'ân gibi derin mânâlar ifâde eden kâinât.  
 Kur'ân-ı Azimüşşan _  şanı yüce Kur'ân.  
 Kur'ân-ı Ekber-i Âlem _  en büyük âlem kitabı; kâinatın çok büyük bir Kur'ân gibi hakîkatleri göstermesine işarettir.  
 Kur'ân-ı Ezher _  parlak ve ışık saçan Kur'ân.  
 Kur'ân-ı Hakim-i Mu'cizü'l-Beyân _  ifâde ve açıklamaları mu'cize olan ve her bir cümlesinde fayda ve gâyeler bulunan Kur'ân.  
 Kur'ân-ı Hakim _  her âyet ve kelimesinde sayısız hikmet ve faydalar bulunan Kur'ân.  
 Kur'ân-ı Hatib-i Mu'cizbeyân _  beyan ve hitabı mu'cize olan Kur'ân.  
 Kur'ân-ı Kebir _  büyük Kur'ân.  
 Kur'ân-ı Mu'cizü'l·Beyan _  açıklamalarıyla akılları benzerini yapmaktan âciz bırakan Kur'ân 
 Kur'ân-ı Mübin _  hak ve hakîkatı açıklayan Kur'ân.  
 Kur'ân-ı Mürşid _  hak yolu gösteren Kur'ân.  
 kurb _ yakınlık.  
 kurb-u huzur _  huzura yakınlık. Yakına getirmek.  
 kurb-u şâhâne _  padişaha yakın olma; ezel ve ebed padişahı olan Cenâb-ı Hakka mânen yakın olma; Cennete girme.  
 kurbiyet _ yakınlık, îman ve ibâdetle Allah'a mânen yakın olmak.  
 kurbiyet-i ilâhiye _  Allah'a yakınlık. Sahabeler; doğrudan, vehbi ve cezb-i Rahmani ile; Veliler ise kisbi ve dolaylı olarak bu makama varır 
 kurbiyet-i mekân _  yer yakınlığı.  
 kurbiyyet-i ilâhiye _  Allah'ın yakınlığı.  
 kurûn-u sâlife _  geçmiş asırlar, zamanlar.  
 kurûn-u uhrâ _  Ortaçağ sonrası, Yeniçağ ve Yakınçağ.  
 kurûn-u ulâ _  İlk Çağ.  
 kusûr-u semâviye _  gökteki kasırlar, saraylar. Yıldızlar. Gezegenler.  
 kusur _  hatâ.  
 kusurât _  kusurlar.  
 kût _  azık.  
 kût-u kulüb _  kalblerin azığı ve gıdası.  
 kutb _  zirve, en yüksek derece, ileri gelen, baş, en büyük.  
 kutb-u Azam _  en büyük kutup, dinî bir meslek veya grubun başı, birçok Müslümanların kendisine bağlandıkları büyük evliyalardan zamanın en büyük mürşidi.  
 kutb-u iman _  imanın bir rüknü, esası.  
 kutb-u şimâlî _  kuzey kutbu.  
 kuvâ _  kuvvetler, hisler, duygular.  
 kuvâ-yı insâniye _  insandaki duygular.  
 Kuvâ-yı Milliye _  İstiklâl Harbinde Anadolu'da kurulan hükümet ve buna bağlı makamlar.  
 kuvâ-yı sâriye _  cereyan eden kuvvetler, görünmeyen ruhani varlıklar. Meleklerin yanlış bir şekilde ifâde edilmesi.  
 kuvve _  duygu, his, kâbiliyet.  
 kuvve-i akliye _  akıl duygusu.  
 kuvve-i bâsıra _  göz, görme duygusu.  
 kuvve-i câzibe _  çekim kuvveti, insanda bulunan ve faydalı şeyleri çeken duygu.  
 kuvve-i dâfia _ . itme kuvveti; zararlı şeyleri defetme duygusu.  
 kuvve-i gadabiye _  zararlı şeyleri defe sevk eden his ve kuvvet; öfke duygusu.  
 kuvve-i hâfıza-i insâniye _  insanın ezberleme kâbiliyeti.  
 kuvve-i hâfıza _  hâfıza (hatırda tutma) kâbiliyeti, ezberleme duygusu.  
 kuvve-i hayâliye _  hayal etme kâbiliyeti.  
 kuvve-i mânevi _  mânevî kuvvet, moral.  
 kuvve-i mâneviye _  mânevi kuvvet, moral, mâneviyâttan gelen dayanma gücü.  
 kuvve-i musavvire _  varlıkların şekil ve suretlerini hayalde canlandırma kabiliyeti.  
 kuvve-i müfekkire _  düşünme duygusu.  
 kuvve-i müvellide _  tevlid edici kuvvet, meydana getirici kuvvet, üreme kâbiliyeti.  
 kuvve-i şâmme _  koku alma hissi.  
 kuvve-i şeheviye-i behîmiye _  hayvâni şehvet duygusu.  
 kuvve-i şeheviye _  cinsî istek kudreti ve yemek, içmek, uyumak, konuşmak gibi kabiliyetler.  
 kuvve-i zâika _  tat alma duyusu; dil.  
 kuvvet-i iman _  iman kuvveti.  
 kuvvet-i ifâde _  kuvvetli ve keskin ifâde. Veciz açıklamalar.  
 kuvvet-i İlâhiye _  İlâhî kuvvet.  
 kuvvet-i kudsiye _  kudsi, üstün, mukaddes bir kuvvet.  
 kuvvet-i mutlak _  sonsuz ve sınırsız kuvvetlilik.  
 kuvvetperestlik _  kuvveti sevme; kuvvete dayanma ve güvenme.  
 küduret _  bulanıklık, koyuluk, kesitlik; kaygı, tasa, kederlilik.  
 küffâr _  kâfirler.  
 küfr _  îmansızlık, Allah'a inanmamak, hakkı kabul etmemek.  
 küfran _  Cenâb-ı Hakkın ihsan ettiği nîmetleri bilmeme ve hürmetsizlik etme, nankörlük.  
 küfrân-ı nimet _  Cenâb-ı Hakkın ihsan ettiği nîmetleri bilmeme ve hürmetsizlik etme, nankörlük.  
 küfriyât _  inkâr cinsinden sözler.  
 küfür _  Allah'ı inkâr etme, inançsızlık dinsizlik.  
 küfv (küfüv) _  yakışan, denk, uygun.  
 külfet _  yük, zahmet, sıkıntı, zorluk.  
 küll-i âlem _  âlemin bütünü.  
 küll _  bütün, hep, her, tüm, parçalardan meydana gelen.  
 külli _  bütüne mensup parçalardan ve fertlerden meydana gelen, umumî, bütün, çok fazla.  
 küllî şuunât _  Allah'ın bütün yaratıkları içine alan işleri.  
 külliyat _  bir yazarın eserlerinin bütünü.  
 külliyât-ı şuun _  iş ve faaliyetlerin tamamı.  
 külliye (külliyet) _  bütünlük, umumilik, genellik; bolluk, çokluk, ziyâdelik.  
 külliyen _  bütünüyle, tamamını.  
 külliyet-i ef'âl _  fiillerin umumiliği ve çokluğu.  
 Kün _  Cenâb-ı Hakkın "Ol, Olsun" mânâsındaki emri.  
 künuz _  mânevî ve kıymetli hazine.  
 künuz-u Esmâ-i İlâhiye _  Allah'ın isimlerinin hazineleri.  
 künuz-u mahfiye _  gizli hazineler.  
 küre _  dünya.  
 küre-i arz _  dünya, yer küre.  
 küre-i hava _  hava küresi; atmosfer.  
 küre-i zemin _  yeryüzü küresi.  
 kürevi _  küre biçiminde olan.  
 küreyvât-ı hamrâ _  al yuvarlar. Kırmızı hücreler.  
 küsuf _  güneş tutulması, Ay'ın dünya ile Güneş arasına gelerek Dünya üzerinde gölge yapması.  
 küsufât _  küsuflar.  
 küşad _  açmak.  
 küşâde _ açık.  
 kütüb _  kitaplar.  
 kütüb-ü mukaddese _  Allah'ın gönderdiği mukaddes dört kitap.  
 kütüb-ü sâlife _  geçmiş kitaplar.  
 kütüb-ü semâviye _  semâvi kitaplar; vahiy ile gönderilen kitaplar.  
 kütük _  aynı soya mensub insanların kaydedildiği büyük defter.  
 kütüphâne-i İlâhi _  kâinattaki her bir varlığın bir kitap gibi çok mânâlar ifâde ettiğini ve bütün kâinâtın bir nevi mânevi bir kütüphâne olduğunu belirtmek için kullanılan bir tâbir.  
 kütüphane-i mukaddese _  mukaddes kütüphâne.  
 lâmeşhüde illâ Hu _  "hiç bir şey görmüyoruz Allah'tan başka. " 
 lâmevcüde illâ Hu _  mevcudât yok, ancak Allah var.  
 lâakal _  en az, en azından, hiç değilse.  
 lâfz (lâfız) _  ifâde, kelime, söz.  
 lâfz-ı kâfir _  küfürlü söz. Kafirlere yakışan söz.  
 lâfı-ı kinâi _  kinâyeli, dolaylı sözler. Üstü kapalı ifâde.  
 lâfı-ı mücessem _  cisimleşmiş söz, cisim hâline gelmiş kelime.  
 lâfz-ı Yâsin _  Yâsin kelimesi 
 lâfzan _ söz olarak, söyleyerek.  
 lâfziye _  lâfza âit ve ilgili; kelimenin söylenişine ve yapısına âit, onlarla alâkalı.  
 lâhik _ ek; ekleme.  
 lâhiyâne-i tâzib _  kendisiyle eğlenircesine azap vermek.  
 lâhm _  et.  
 lâhm-ı mahsus _  özel et, her canlının kendi özelliklerine göre yaratılan eti.  
 lâkap _  asıl isminden başka sonradan takılan ad, meşhur olan birinin sonraki adı.  
 lâkayd _  karışmayan, kıymet ve ehemmiyet vermeyen, ilgisiz.  
 lâkaydâne _  kayıtsız ve ilgisizce, kıymet ve ehemmiyet vermeyerek.  
 lâkin _  fakat, ancak.  
 lâmeşru _ şeriata uymayan, dayanmayan.  
 lâsiyyemâ _  bilhassa, hususan, özellikle.  
 lâşe _ leş, kokmuş et parçası.  
 Latif _ yumuşak, nâzik, şirin, hoş, tatlı, güzel · çok lütuf. ve ihsanda bulunan Allah.  
 Latifâne _  hoş şefkatli ve güzel bir şekilde, lütuf ve ihsanda bulunarak.  
 latife _  kalbe bağlı hassas bir duygu.  
 latife-i Rabbâniye _  insanın kalbine bağlı ve bütün duygularının sultanı olan ince bir duygudur ki, İlâhi hakikatler onunla hissedilip zevkedilir. Lâyemut ölümsüz 
 leyetenâhi _  sınırsız bir şekilde.  
 lâyezâl _  zevâl bulmaz, yok olmaz.  
 lâyık-ı muhabbet _  sevgiye lâyık olan.  
 lâyık-ı veçh _  usule uygun.  
 lâyiha-i temyiz _  Yargıtay'a yazılan yazı.  
 lâzım-ı hüküm _  bir hükmün lâzımı, bir hükmün açık mânâsının dışında gerektirdiği başka bir mânâsı.  
 lazime-i diyânet _ din ve diyânetin gerektirdiği.  
 lazime-i zaruriye _  zarurî ihtiyaçlar. Kesin gereklilik.  
 lazime-i zaruriye-i zâtiye _  Allah'ın zâtının şanı ve zarurî bir gerçeği.  
 lebbeyk _  "buyurunuz, emredersiniz, peki efendim, emrine hazırım" mânâsında 
 lebbeykzen _ buyurunuz diye söyleyen; hazır olan.  
 leh _  onun için, onun faydasına, (olumlu olarak kullanılır).  
 Lehü'l-Esmâü'l-Hüsnâ _  bütün kâinat, Allah'ın isimlerinin ahseniyet ve tavsifine şehâdet ediyor.  
 lehviyât _  kadınlı erkekli haram eğlenceler, oyunlar; nefsâni gayr-ı meşrû eğlenceler.  
 lehviyât-ı muharreme _  haram kılınmış olan gayr-i meşru eğlenceler.  
 lem'a _  ışık, parıltı, parlama, parıldama.  
 lem'a-i icâz _  icaz parıltısı.  
 lem'a-i i'câz _  mu'cizelik parıltısı.  
 lem'a-i i'câz-ı Kur'ân _  Kur'ân'ın mu'cizelik parıltısı.  
